Name,AP,Type,Class,Description,Animation,Notes
Advance,1,mov,All,"Move up to 5 steps in any direction, facing that direction.",Moving unit,Id: move_forward
Arrow,1,atk,All,Deal 2 damage to the nearest unit in the facing direction.,Arrow projectile,Id: attack_arrow
Attack,1,atk,All,"Face a direction, then deal damage to an adjacent unit.",Attack impact,Id: attack_roguelike_basic; Roguelike only
Barricade,1,reinforce,Commander,Spawns 2 1-strength barricades adjacent to an existing unit or building.,Spawn effect,Id: reinforce_barricade
Bash,2,atk,Warleader,"Face a direction, then deal 2 damage and Stun an adjacent unit this turn.",Attack impact,Id: attack_bash; Keywords: Priority
Battlefield Recruitment,1,reinforce,Commander,"Spawn a 1-strength unit adjacent to a friendly unit, facing a chosen direction.",Spawn effect,Id: reinforce_battlefield_recruitment
Bear Trap,1,spell,Commander,Place a hidden bear trap adjacent to a friendly unit. Trigger: 2 damage and Snare for 2 turns; movement stops.,Trap placement marker,Id: spell_pitfall_trap
Berserk,1,reinforce,Warleader,Give a unit Strong and Undying this turn. It becomes Marked for Death.,Status effect pulse,Id: reinforce_berserk; Keywords: Priority; Cannot target barricades
Blade Dance,3,atk,Warleader,"Chain 3 moves: each move 1 tile, then deal 1 to all adjacent units.",Moving unit,Id: attack_blade_dance; Counts as: movement
Bleed,1,atk,All,Deal 1 damage to an adjacent tile and inflict Vulnerable for 2 turns.,Attack impact,Id: attack_bleed
Blizzard,3,spell,Archmage,Choose a tile. All units within 2 tiles take 2 damage and are Slowed for 2 turns.,Frost burst over radius,Id: spell_blizzard
Bolster,0,reinforce,All,Give a unit Strong this turn.,Status effect pulse,Id: reinforce_bolster; Cannot target barricades
Boost,1,reinforce,All,Add 1 strength to up to two different units.,Buff pulse,Id: reinforce_boost
Brain Freeze,2,spell,Archmage,"All opponent cards become Slow next turn. If a card would be both Priority and Slow, both cancel out.",Spell effect,Id: spell_brain_freeze
Burn,1,spell,All,Apply Burn to a unit (stackable; deals 1 damage per stack at end of each turn).,Status effect pulse,Id: spell_burn
Chain Lightning,1,atk,Archmage,"Deal 2 damage to a random adjacent unit, then jump to random adjacent units until no new targets remain.",Chain lightning arcs,Id: attack_chain_lightning
Charge,2,atk,Warleader,"Face a direction, move up to 5 tiles, then deal 3 damage to the tile in front.",Moving unit,Id: attack_charge; Counts as: movement
Cleave,1,atk,All,"Deal 2 damage to the nearest tile in the forward, left and right directions.",Attack impact,Id: attack_fwd_lr
Converge,1,mov,Commander,Every friendly unit moves 1 tile toward a chosen tile and faces the moved direction.,Moving unit,Id: move_converge
